Title,Description,Priority,Labels,Status
Budget/bound chat prompt growth,"serializeGraph emits one line per node/edge with no cap; modelHistory includes 40 turns verbatim; no token budgeting. A large canvas silently overflows context and truncates. Add a serialization budget/summarization strategy. Location: chat/graphSerializer.ts:17-49, ws/handlers/chat.ts:240-247",Medium,"Backend,Performance",Backlog
Add render dirty-tracking / layered canvas,"renderBoard clears + redraws every edge/node/grid/cursor each frame; useRender runs an unconditional rAF at refresh rate while a chain runs, no layer caching. Add dirty-region or layered rendering and cache the dot grid. Location: src/whiteboard/render.ts:537-598, useRender.ts:93-112",Medium,"Frontend,Performance",Backlog
Replace window CustomEvent chat bus,"All chat:* messages are re-dispatched as a window 'dispatch:chat' CustomEvent to dodge a mount-timing race — invisible coupling, no type safety, leaks listeners after reconnect. Replace with a buffered store channel. Location: src/whiteboard/hooks/useSocket.ts:278-284; ChatPanel.tsx:82-142",Medium,"Frontend,Tech-Debt",Backlog
Consolidate duplicated graph-mutation logic,"The node-delete cascade and chain commands are reimplemented across Whiteboard, useInteraction, and the socket reducer; sendJson is duplicated verbatim. Consolidate behind a single command API. Location: Whiteboard.tsx:163-176, useInteraction.ts:236-261, ChatPanel.tsx:206-210, BottomPanel.tsx:71-98",Medium,"Frontend,Tech-Debt",Backlog
Decompose Sidebar.tsx and BottomPanel.tsx,"Sidebar (~488 LOC) mixes toolbox + a 184-line node inspector + a hardcoded MODEL_PROVIDERS catalog; BottomPanel (~340 LOC) is five tabs + a command parser. Split into Toolbox/NodeInspector/ModelPicker and per-tab panels; move the model catalog to shared config. Location: src/whiteboard/components/Sidebar.tsx:61-487, BottomPanel.tsx",Medium,"Frontend,Tech-Debt",Backlog
Delete dead Terminal.tsx,"Terminal.tsx is never imported; its rendering was copied into BottomPanel's terminal tab. Delete it (or extract a shared TerminalLog). Location: src/whiteboard/components/Terminal.tsx",Low,"Hygiene,Frontend",Backlog
Delete dead src/shelf/drawing module,"LegacyWhiteboard.jsx + render.js + geometry.js have zero imports anywhere; superseded by src/whiteboard/. They're also the only loosely-typed JS in src/. Delete. Location: src/shelf/drawing/*",Low,"Hygiene,Frontend",Backlog
Stop committing build artifacts,"vercel-workspaces/ (a live deploy target, causing repeated 'chore: remove output files' commits), dispatch-jsu-backup/, out/, and output/ are tracked in git. Gitignore and remove them. Location: repo root",Low,"Hygiene,Backend",Backlog
Consolidate contradictory handoff/spec docs,"~13 root .md handoff/spec files plus claude_revamp_specs/ describe conflicting and partly-dead architectures (server/ws vs server/features; BoardNode/PlanNode/EvidenceFact/RunLedger exist only in docs). Pick one canonical spec, archive the rest. Note: 'KFACTOR-9' does not appear anywhere in code or docs. Location: repo root",Medium,"Hygiene,Docs",Backlog
Expand test coverage on security-critical paths,"One test file (27 tests) for ~8700 LOC; WS upgrade/auth, /preview guard, deployToVercel, and the provider tool loop are entirely untested. Add characterization tests before refactoring those modules. Location: tests/node-v2.test.ts",Medium,"Tests,Backend",Backlog
Fix userColors index overflow,"colorIndex increments monotonically with no modulo against userColors.length (6), so userColors[colorIndex] is undefined after 6 joins. Add % userColors.length. Location: server/features/state/store.ts:20-21,35-36",Low,"Backend,Bug",Backlog
Add timeout/TTL to review promises,"reviewStore.pending is a process-global Map; an unresolved review whose abortSignal never fires leaks for the process lifetime, and waitForReview has no timeout so a hung review blocks its chain indefinitely. Add TTL + workspace/chain scoping. Location: server/features/state/reviewStore.ts:8,29-35",Medium,"Backend,Bug",Backlog
